name,guest_name,changed,description_snippet
Mark Cubanâ€™s Billionaire Luck,Mark Cuban,1,"Trevor is joined by entrepreneur, Dallas Mavericks owner, and television personality Mark Cuban. Mark recently announced that heâ€™s selling his majority stake in the team and that heâ€™s leaving the long"
Nick Kyrgios is More Than a Tennis Star,Nick Kyrgios,0,"Trevor is joined by tennis champion Nick Kyrgios, who is known both for his prodigious talent and his â€œbad boyâ€ reputation. They discuss how Nick feels about that label, the challenges he's faced on t"
Trevorâ€™s New Years Resolutions,,0,"To start off the new year, Trevor and his friends chop up some of the biggest news stories of the week. Just hours before its release, they make predictions about Jeffrey Epsteinâ€™s infamous â€œlist,â€ di"
Mayor Karen Bass Predicts Los Angelesâ€™ Future,Karen Bass,0,"Trevor sits down with Los Angeles mayor Karen Bass on the anniversary of her first year in office. In 2022, Bass upset a well-financed opponent to win the election and return to the city where her act"
Tristan Harris Is Trying to Save Us from AI,Tristan Harris,0,"Trevor is joined by Tristan Harris, a tech ethicist and entrepreneur who is probably best known as ""the guy from 'The Social Dilemma' documentaryâ€ and who has dedicated himself and his company to alig"
Janelle Monae is in Her Age of Pleasure,Janelle Monae,0,"Trevor is joined by genre-defying artist and performer, Janelle MonÃ¡e, whose 2023 album, The Age of Pleasure, was recently nominated for two GRAMMYs, including Album of the Year. Janelle shares her re"
Sam Altman Speaks Out About What Happened at OpenAI,Sam Altman,0,"Trevor has a candid and revealing conversation with Sam Altman, who was ousted and then reinstated as CEO of OpenAI just 12 days ago. Sam recounts where he was when he received the brutal phone call, "
DaBaby Gets Real About Hip Hop Culture,DaBaby,0,"Trevor sits down with Grammy-nominated rapper DaBaby, who just a few years ago was the face of hip-hop with multiple hit singles to his name. Then a controversial moment at the Rolling Loud festival i"
Bill Gates Doesnâ€™t Need To Track You,Bill Gates,1,"Trevor is joined by Bill Gates, the co-founder of Microsoft and one of the worldâ€™s foremost philanthropists. The two talk about how he and Paul Allen schemed to get computer time as teens, the dangers"
Kerry Washington Is Ready To Tell the Truth,Kerry Washington,0,"Trevor is joined by actress/producer/author Kerry Washington. The good friends unpack the end of the Hollywood strikes, the shocking family secret Kerry shares in her newly published memoir, the respo"
Dwayne â€œThe Rockâ€ Johnson Kicks Off What Now?,"Dwayne ""The Rock"" Johnson",1,"In the series premiere episode, Trevor is joined by Dwayne ""The Rock"" Johnson â€” ""The People's Champion"" in the wrestling world, one of the hardest working actors in Hollywood, and a bonafide Girl Dad."
INTRODUCING â€œWhat Now? with Trevor Noahâ€,,0,"What is Trevor Noah up to Now? Well, heâ€™s back with a new podcast. Join Trevor and special guests for authentic, candid and necessarily messy conversations. This show is all about conversations withou"
